adres,afgifte_type,bestand,co2,energielabel,ep1_beng1,ep2_beng2,ep3_beng3,gebouwtype,pad,tapwater_toestel,tapwater_type,tojuli,ventilatie_systeem,ventilatie_variant,verwarming_rendement,verwarming_type
"Dorpsstraat 34, 3648 AH Wilnis",VERW-AFG_TYPE_AFG_LV,"Dorpsstraat 34, 3648 AH Wilnis_2025-11-15.uniec3",,A,"98,16","135,49","20,4",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Dorpsstraat 34, 3648 AH Wilnis, Nederland/Opname/Van adviseur/Dorpsstraat 34, 3648 AH Wilnis_2025-11-15.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,98",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_A
"Bilderdijklaan 8, 1182 EC Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Bilderdijklaan 8, 1182 EC Amstelveen_2025-11-17.uniec3",,D,"195,74","266,96","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Bilderdijklaan 8, 1182 EC Amstelveen, Nederland/Opname/Van adviseur/Bilderdijklaan 8, 1182 EC Amstelveen_2025-11-17.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,69",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Curiestraat 5, 1171 BG Badhoevedorp_",VERW-AFG_TYPE_AFG_VLV,"Curiestraat 5, 1171 BG Badhoevedorp__2025-07-20.uniec3",,B,"150,26","176,65","21,4",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Curiestraat 5, 1171 BG Badhoevedorp/Opname/Van adviseur/Curiestraat 5, 1171 BG Badhoevedorp__2025-07-20.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,22",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Woestduinstraat 142, 1059 SZ Amsterdam",VERW-AFG_TYPE_AFG_VLV,"Woestduinstraat 142, 1059 SZ Amsterdam_2025-09-19.uniec3",,B,"110,68","185,63","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Woestduinstraat 142, 1059 SZ Amsterdam, Nederland/Opname/Van adviseur/Woestduinstraat 142, 1059 SZ Amsterdam_2025-09-19.uniec3",Intergas Kombi Kompakt HRE 28/24 A,TAPW-OPWEK_TYPE_12,"2,97",9,VARIANT_C1,"0,900",VERW-OPWEK_TYPE_H
"Bronckhorststraat 34-3, 1071 WS Amsterdam__",VERW-AFG_TYPE_AFG_RAD,"Bronckhorststraat 34-3, 1071 WS Amsterdam___2025-07-27.uniec3",,C,"162,15","229,72","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Bronckhorststraat 34-3, 1071 WS Amsterdam/Opname/Van adviseur/Bronckhorststraat 34-3, 1071 WS Amsterdam___2025-07-27.uniec3",Intergas Kombi Kompakt HRE 28/24 A,TAPW-OPWEK_TYPE_12,"1,49",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Spechtstraat 20, 1171 SV Badhoevedorp",VERW-AFG_TYPE_AFG_RAD,"Spechtstraat 20, 1171 SV Badhoevedorp_2025-05-13.uniec3",,C,"168,82","244,70","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Spechtstraat 20, 1171 SV Badhoevedorp/Opname/Van adviseur/Spechtstraat 20, 1171 SV Badhoevedorp_2025-05-13.uniec3",Remeha Avanta Ace 35c - BCRG verklaring gecorrigeerd 2021-10-02,TAPW-OPWEK_TYPE_12,"0,56",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Galileïstraat 5, 1433 BW Kudelstaart",VERW-AFG_TYPE_AFG_RAD,"Galile_straat 5, 1433 BW Kudelstaart_2025-11-18.uniec3",,A,"83,98","137,39","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Galileïstraat 5, 1433 BW Kudelstaart, Nederland/Opname/Van adviseur/Galile_straat 5, 1433 BW Kudelstaart_2025-11-18.uniec3",Intergas Kombi Kompakt HRE 24/18 A,TAPW-OPWEK_TYPE_12,"0,61",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Max Havelaarlaan 147, 1183 LP Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Max Havelaarlaan 147, 1183 LP Amstelveen_2025-04-08.uniec3",,D,"154,66","253,77","0,9",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Max Havelaarlaan 147, 1183 LP Amstelveen/Opname/Van adviseur/Max Havelaarlaan 147, 1183 LP Amstelveen_2025-04-08.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,27",9,VARIANT_C1,"0,900",VERW-OPWEK_TYPE_H
"Copierstraat 56, 1433 NT Kudelstaart",VERW-AFG_TYPE_AFG_VLV,"Copierstraat 56, 1433 NT Kudelstaart_2025-10-26.uniec3",,A,"87,44","127,50","14,2",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Copierstraat 56, 1433 NT Kudelstaart, Nederland/Opname/Van adviseur/Copierstraat 56, 1433 NT Kudelstaart_2025-10-26.uniec3",Remeha Tzerra M 28C Plus,TAPW-OPWEK_TYPE_12,"1,18",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Marcantilaan 191, 1051 LN Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Marcantilaan 191, 1051 LN Amsterdam_2025-06-25.uniec3",,A,"90,72","151,64","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Marcantilaan 191, 1051 LN Amsterdam/Opname/Van adviseur/Marcantilaan 191, 1051 LN Amsterdam_2025-06-25.uniec3",Intergas Kombi Kompakt HRE 24/18 A,TAPW-OPWEK_TYPE_12,"0,98",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Stommeerweg 72-ws7, 1431 EX Aalsmeer_",VERW-AFG_TYPE_AFG_VLV,"Stommeerweg 72-ws7, 1431 EX Aalsmeer__2025-09-25.uniec3",,A+,"112,28","94,14","51,8",TGEB_WOONBN,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Stommeerweg 72, 1431 EX Aalsmeer, Nederland/Opname/Van adviseur/Stommeerweg 72-ws7, 1431 EX Aalsmeer__2025-09-25.uniec3",warmtepomp - voldoet aan tabel 9.28,TAPW-OPWEK_TYPE_1,"4,39",1,VARIANT_A1,,VERW-OPWEK_TYPE_A
"Jupiterstraat 5, 1431 XA Aalsmeer",VERW-AFG_TYPE_AFG_VLV,"Jupiterstraat 5, 1431 XA Aalsmeer_2025-07-10.uniec3",,B,"124,97","186,49","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Jupiterstraat 5, 1431 XA Aalsmeer/Opname/Van adviseur/Jupiterstraat 5, 1431 XA Aalsmeer_2025-07-10.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"2,16",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Graaf Aelbrechtlaan 118, 1181 SX Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Graaf Aelbrechtlaan 118, 1181 SX Amstelveen_2025-07-29.uniec3",,C,"180,64","235,82","6,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Graaf Aelbrechtlaan 118, 1181 SX Amstelveen/Opname/Van adviseur/Graaf Aelbrechtlaan 118, 1181 SX Amstelveen_2025-07-29.uniec3",Remeha Tzerra Ace 39c - niet meer leverbaar,TAPW-OPWEK_TYPE_12,"1,61",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Dennenlaan 198, 1161 CW Zwanenburg",VERW-AFG_TYPE_AFG_RAD,"Dennenlaan 198, 1161 CW Zwanenburg_2025-06-10.uniec3",,C,"161,14","239,07","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Dennenlaan 198, 1161 CW Zwanenburg/Opname/Van adviseur/Dennenlaan 198, 1161 CW Zwanenburg_2025-06-10.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"3,05",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Duivenvoorde 34, 1187 DJ Amstelveen_",VERW-AFG_TYPE_AFG_VLV,"Duivenvoorde 34, 1187 DJ Amstelveen__2025-06-08.uniec3",,A++,"73,43","62,55","52,3",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Duivenvoorde 34, 1187 DJ Amstelveen/Opname/Van adviseur/Duivenvoorde 34, 1187 DJ Amstelveen__2025-06-08.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"0,47",9,VARIANT_C1,,VERW-OPWEK_TYPE_A
"Kas 69, 1431MC Aalsmeer",VERW-AFG_TYPE_AFG_RAD,"Kas 69, 1431MC Aalsmeer_2025-06-26.uniec3",,A,"57,11","106,62","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Kas 69, 1431MC Aalsmeer/Opname/Van adviseur/Kas 69, 1431MC Aalsmeer_2025-06-26.uniec3",Vaillant VHR NL 25-30/5-5,TAPW-OPWEK_TYPE_12,"1,64",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Bronckhorststraat 36-2, Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Bronckhorststraat 36-2, Amsterdam_2025-04-08.uniec3",,B,"122,76","185,54","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Bronckhorststraat 36-2, Amsterdam/Opname/Van adviseur/Bronckhorststraat 36-2, Amsterdam_2025-04-08.uniec3",Intergas Kombi Kompakt HR 22,TAPW-OPWEK_TYPE_12,"1,32",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Eksterstraat 51, 1171 TA Badhoevedorp",VERW-AFG_TYPE_AFG_RAD,"Eksterstraat 51, 1171 TA Badhoevedorp_2025-09-23.uniec3",,A,"163,35","132,37","48,9",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Eksterstraat 51, 1171 TA Badhoevedorp, Nederland/Opname/Van adviseur/Eksterstraat 51, 1171 TA Badhoevedorp_2025-09-23.uniec3",Intergas Kombi Kompakt HReco 36,TAPW-OPWEK_TYPE_12,"2,25",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Machineweg 29, 1432 EK Aalsmeer",VERW-AFG_TYPE_AFG_RAD,"Machineweg 29, 1432 EK Aalsmeer_2025-08-18.uniec3",,C,"180,61","239,66","4,2",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Machineweg 29, 1432 EK Aalsmeer/Opname/Van adviseur/Machineweg 29, 1432 EK Aalsmeer_2025-08-18.uniec3",Intergas Kombi Kompakt HRE 36/30 A,TAPW-OPWEK_TYPE_12,"1,16",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Vinkenkade 7A, 3645 AN Vinkeveen_",VERW-AFG_TYPE_AFG_VLV,"Vinkenkade 7A, 3645 AN Vinkeveen__2025-09-21.uniec3",,B,"168,77","182,97","21,7",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Vinkenkade 7A, 3645 AN Vinkeveen, Nederland/Opname/Van adviseur/Vinkenkade 7A, 3645 AN Vinkeveen__2025-09-21.uniec3",Intergas Kombi Kompakt HRE 36/30 A,TAPW-OPWEK_TYPE_12,"1,28",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Machineweg 33a, 1432EL Aalsmeer",VERW-AFG_TYPE_AFG_RAD,"Machineweg 33a, 1432EL Aalsmeer_2024-12-04.uniec3",,C,"133,76","240,90","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/machienweg 33a/Opname/Van adviseur/Machineweg 33a, 1432EL Aalsmeer_2024-12-04.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"2,19",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Anne de Vrieslaan 26, 1187 WL Amstelveen",VERW-AFG_TYPE_AFG_VLV,"Anne de Vrieslaan 26, 1187 WL Amstelveen_2025-08-28.uniec3",,A,"91,45","154,17","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Anne de Vrieslaan 26, 1187 WL Amstelveen/Opname/Van adviseur/Anne de Vrieslaan 26, 1187 WL Amstelveen_2025-08-28.uniec3",Nefit Trendline HRC30 CW5,TAPW-OPWEK_TYPE_12,"1,72",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Grote Belt 191, 2133 GW Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Grote Belt 191, 2133 GW Hoofddorp_2025-05-06.uniec3",,B,"101,65","164,19","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Grote Belt 191, 2133 GW Hoofddorp/Opname/Van adviseur/Grote Belt 191, 2133 GW Hoofddorp_2025-05-06.uniec3",Intergas Kombi Kompakt HRE 28/24 A,TAPW-OPWEK_TYPE_12,"1,34",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Tulpenburg 4, 1181 Amstelveen",VERW-AFG_TYPE_AFG_LV,"Tulpenburg 4, 1181 Amstelveen_2025-11-14.uniec3",,A+,"68,13","98,43","25,9",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Tulpenburg 4, 1181 Amstelveen, Nederland/Opname/Van adviseur/Tulpenburg 4, 1181 Amstelveen_2025-11-14.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,24",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_A
"Quellijnstraat 80-3, 1072XW Amsterdam",VERW-AFG_TYPE_AFG_VLV,"Quellijnstraat 80-3, 1072XW Amsterdam_2025-06-16.uniec3",,A,"68,87","115,44","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Quellijnstraat 80-3, 1072XW Amsterdam/Opname/Van adviseur/Quellijnstraat 80-3, 1072XW Amsterdam_2025-06-16.uniec3",Vaillant VHR NL 25-30/5-5,TAPW-OPWEK_TYPE_12,"5,68",1,VARIANT_A1,"0,975",VERW-OPWEK_TYPE_H
"Gozewijnstraat 16 1433 JB Kudelstaart, Nederl"Gijsbrecht van IJselsteinstraat 219, 1082 KJ Amsterdam__",VERW-AFG_TYPE_AFG_RAD,"Gijsbrecht van IJselsteinstraat 219, 1082 KJ Amsterdam___2025-06-30.uniec3",,D,"131,84","252,93","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Gijsbrecht van IJselsteinstraat 219, 1082 KJ Amsterdam/Opname/Van adviseur/Gijsbrecht van IJselsteinstraat 219, 1082 KJ Amsterdam___2025-06-30.uniec3",HR(-107) ketel,TAPW-OPWEK_TYPE_12,"0,54",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Stevinstraat 21, 1171 XW Badhoevedorp",VERW-AFG_TYPE_AFG_RAD,"Stevinstraat 21, 1171 XW Badhoevedorp_2025-10-08.uniec3",,D,"185,76","259,48","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Stevinstraat 21, 1171 XW Badhoevedorp, Nederland/Opname/Van adviseur/Stevinstraat 21, 1171 XW Badhoevedorp_2025-10-08.uniec3",Atag Q38C,TAPW-OPWEK_TYPE_12,"1,14",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Papaverstraat 51, 2153 BB Nieuw-Vennep",VERW-AFG_TYPE_AFG_VLV,"Papaverstraat 51, 2153 BB Nieuw-Vennep_2025-07-01.uniec3",,B,"152,86","185,72","15,9",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Papaverstraat 51, 2153 BB Nieuw-Vennep/Opname/Van adviseur/Papaverstraat 51, 2153 BB Nieuw-Vennep_2025-07-01.uniec3",Nefit Proline NxT HRC24 CW4,TAPW-OPWEK_TYPE_12,"1,66",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Liesbos 106, 2134 SE Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Liesbos 106, 2134 SE Hoofddorp_2025-06-03.uniec3",,C,"153,62","230,91","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Liesbos 106, 2134 SE Hoofddorp/Opname/Van adviseur/Liesbos 106, 2134 SE Hoofddorp_2025-06-03.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,42",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Zwarteweg 44, 1431 VM Aalsmeer",VERW-AFG_TYPE_AFG_VLV,"Zwarteweg 44, 1431 VM Aalsmeer_2025-05-19.uniec3",,B,"113,01","177,09","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Zwarteweg 44, 1431 VM Aalsmeer/Opname/Van adviseur/Zwarteweg 44, 1431 VM Aalsmeer_2025-05-19.uniec3",Intergas Kombi Kompakt HRE 36/30 A,TAPW-OPWEK_TYPE_12,"1,80",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Orchideelaan 124, 1171 MN Badhoevedorp",VERW-AFG_TYPE_AFG_RAD,"Orchideelaan 124, 1171 MN Badhoevedorp_2025-08-26.uniec3",,A,"84,79","154,24","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Orchideelaan 124, 1171 MN Badhoevedorp/Opname/Van adviseur/Orchideelaan 124, 1171 MN Badhoevedorp_2025-08-26.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"0,78",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Wilsonsplein 17f, 2011VG Haarlem_",VERW-AFG_TYPE_AFG_RAD,"Wilsonsplein 17f, 2011VG Haarlem__2025-05-26.uniec3",,E,"142,22","296,09","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Wilsonsplein 17F, 2011VG Haarlem/Opname/Van adviseur/Wilsonsplein 17f, 2011VG Haarlem__2025-05-26.uniec3",Nefit 9000i AquaPower Plus HRC 45/CW6,TAPW-OPWEK_TYPE_12,"1,56",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Thoornpolder 52, 2134 WN Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Thoornpolder 52, 2134 WN Hoofddorp_2025-09-18.uniec3",,A,"80,14","108,47","20,8",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Thoornpolder 52, 2134 WN Hoofddorp, Nederland/Opname/Van adviseur/Thoornpolder 52, 2134 WN Hoofddorp_2025-09-18.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,50",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Hudsonstraat 84, 1057 SP Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Hudsonstraat 84, 1057 SP Amsterdam_2025-07-16.uniec3",,D,"169,58","288,49","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Hudsonstraat 84, 1057 SP Amsterdam/Opname/Van adviseur/Hudsonstraat 84, 1057 SP Amsterdam_2025-07-16.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"2,13",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Tolheksbos 184, 2134 GD Hoofddorp_",VERW-AFG_TYPE_AFG_RAD,"Tolheksbos 184, 2134 GD Hoofddorp__2025-11-24.uniec3",,B,"129,37","171,49","13,2",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Tolheksbos 184, 2134 GD Hoofddorp, Nederland/Opname/Van adviseur/Tolheksbos 184, 2134 GD Hoofddorp__2025-11-24.uniec3",Remeha Tzerra Ace 28c - niet meer leverbaar,TAPW-OPWEK_TYPE_12,"3,39",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Korfstraat 88, 1433 DD Kudelstaart_",VERW-AFG_TYPE_AFG_VLV,"Korfstraat 88, 1433 DD Kudelstaart__2025-10-13.uniec3",,A,"99,01","114,67","19,8",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Korfstraat 88, 1433 DD Kudelstaart, Nederland/Opname/Van adviseur/Korfstraat 88, 1433 DD Kudelstaart__2025-10-13.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"2,67",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Leidsekruisstraat 19-IV, Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Leidsekruisstraat 19-IV, Amsterdam_2025-11-05.uniec3",,D,"156,69","279,28","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Leidsekruisstraat 19-IV, Amsterdam, Nederland/Opname/Van adviseur/Leidsekruisstraat 19-IV, Amsterdam_2025-11-05.uniec3",Bosch (Nefit) 24 HRC Compact 3,TAPW-OPWEK_TYPE_12,"1,29",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Etty Hillesumplantsoen 19, 2135 KJ Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Etty Hillesumplantsoen 19, 2135 KJ Hoofddorp_2025-12-09.uniec3",3639,A,"99,31","123,50","16,1",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Etty Hillesumplantsoen 19, 2135 KJ Hoofddorp, Nederland/Opname/Van adviseur/Etty Hillesumplantsoen 19, 2135 KJ Hoofddorp_2025-12-09.uniec3",Atag E325EC,TAPW-OPWEK_TYPE_12,"2,06",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Cornelis Schuytstraat 43-2, 1071JE Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Cornelis Schuytstraat 43-2, 1071JE Amsterdam_2025-06-17.uniec3",,C,"169,04","232,30","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Cornelis Schuytstraat 43-2, 1071JE Amsterdam/Opname/Van adviseur/Cornelis Schuytstraat 43-2, 1071JE Amsterdam_2025-06-17.uniec3",Remeha Tzerra Ace-Matic 35c,TAPW-OPWEK_TYPE_12,"2,01",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Bakboord 8, 1186 VA Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Bakboord 8, 1186 VA Amstelveen_2025-04-07.uniec3",,A,"96,48","158,42","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Bakboord 8, 1186 VA Amstelveen/Opname/Van adviseur/Bakboord 8, 1186 VA Amstelveen_2025-04-07.uniec3",Remeha Tzerra Ace 28c - niet meer leverbaar,TAPW-OPWEK_TYPE_12,"0,33",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Meester G. Groen van Prinstererlaan 121, 1181 TS Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Meester G. Groen van Prinstererlaan 121, 1181 TS Amstelveen_2025-09-28.uniec3",,C,"118,26","226,42","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Meester G. Groen van Prinstererlaan 121, 1181 TS Amstelveen, Nederland/Opname/Van adviseur/Meester G. Groen van Prinstererlaan 121, 1181 TS Amstelveen_2025-09-28.uniec3",badgeiser met Gaskeur CW,TAPW-OPWEK_TYPE_14,"0,93",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Rozengracht 158-B, 1016 NJ Amsterdam_",VERW-AFG_TYPE_AFG_RAD,"Rozengracht 158-B, 1016 NJ Amsterdam__2025-02-17.uniec3",,E,"215,66","326,74","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Rozengracht 158-B, 1016 NJ Amsterdam/Opname/Van adviseur/Rozengracht 158-B, 1016 NJ Amsterdam__2025-02-17.uniec3",Remeha Avanta 24c,TAPW-OPWEK_TYPE_12,"3,80",1,VARIANT_A1,"0,950",VERW-OPWEK"Rozengra"Weegbreestraat 20, 2153 EC Nieuw-Vennep",VERW-AFG_TYPE_AFG_RAD,"Weegbreestraat 20, 2153 EC Nieuw-Vennep_2025-12-03.uniec3",7007,C,"166,16","224,74","5,2",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Weegbreestraat 20, 2153 EC Nieuw-Vennep, Nederland/Opname/Van adviseur/Weegbreestraat 20, 2153 EC Nieuw-Vennep_2025-12-03.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"0,87",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Legmeerdijk 272a 1187 NL, Amstelveen_",VERW-AFG_TYPE_AFG_RAD,"Legmeerdijk 272a 1187 NL, Amstelveen__2025-07-31.uniec3",,B,"107,56","166,33","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Legmeerdijk 272a 1187 NL/Opname/Van adviseur/Legmeerdijk 272a 1187 NL, Amstelveen__2025-07-31.uniec3",HR(-107) ketel met Gaskeur,TAPW-OPWEK_TYPE_12,"0,94",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Burgemeester Padmosweg 168C, 3648 BM Wilnis",VERW-AFG_TYPE_AFG_RAD,"Burgemeester Padmosweg 168C, 3648 BM Wilnis_2025-10-15.uniec3",,C,"172,15","211,74","15,8",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Burgemeester Padmosweg 168C, 3648 BM Wilnis, Nederland/Opname/Van adviseur/Burgemeester Padmosweg 168C, 3648 BM Wilnis_2025-10-15.uniec3",Nefit Topline Compact HRC25 CW4,TAPW-OPWEK_TYPE_12,"0,79",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
