adres,afgifte_type,bestand,co2,energielabel,ep1_beng1,ep2_beng2,ep3_beng3,gebouwtype,pad,tapwater_toestel,tapwater_type,tojuli,ventilatie_systeem,ventilatie_variant,verwarming_rendement,verwarming_type
"Wibautstraat 52-L, 1091 GN Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Wibautstraat 52-L, 1091 GN Amsterdam_2025-06-09.uniec3",,C,"144,76","245,03","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Wibautstraat 52-L, 1091 GN Amsterdam/Opname/Van adviseur/Wibautstraat 52-L, 1091 GN Amsterdam_2025-06-09.uniec3",Intergas Kombi Kompakt HReco 30,TAPW-OPWEK_TYPE_12,"1,99",10,VARIANT_C2a,"0,950",VERW-OPWEK_TYPE_H
"Burgemeester Cramergracht 154, 1064 AL Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Burgemeester Cramergracht 154, 1064 AL Amsterdam_2025-04-17.uniec3",,D,"180,68","276,73","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Burgemeester Cramergracht 154, 1064 AL Amsterdam/Opname/Van adviseur/Burgemeester Cramergracht 154, 1064 AL Amsterdam_2025-04-17.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"2,86",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Norholm 5, 2133 HJ Hoofddorp_",VERW-AFG_TYPE_AFG_VLV,"Norholm 5, 2133 HJ Hoofddorp__2025-09-28.uniec3",,B,"128,73","174,16","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Norholm 5, 2133 HJ Hoofddorp, Nederland/Opname/Van adviseur/Norholm 5, 2133 HJ Hoofddorp__2025-09-28.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"2,90",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Machineweg 193, 1432 ES Aalsmeer",VERW-AFG_TYPE_AFG_RAD,"Machineweg 193, 1432 ES Aalsmeer_2025-08-28 (1).uniec3",,C,"136,92","202,83","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Machineweg 193, 1432 ES Aalsmeer/Opname/Van adviseur/Machineweg 193, 1432 ES Aalsmeer_2025-08-28 (1).uniec3",Nefit 9000i AquaPower Plus HRC 30/CW6,TAPW-OPWEK_TYPE_12,"0,38",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Praamplein 24b, 1431 CV Aalsmeer",VERW-AFG_TYPE_AFG_RAD,"Praamplein 24b, 1431 CV Aalsmeer_2025-09-03.uniec3",,A,"101,31","158,56","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Praamplein 24b, 1431 CV Aalsmeer, Nederland/Opname/Van adviseur/Praamplein 24b, 1431 CV Aalsmeer_2025-09-03.uniec3",Atag P27C,TAPW-OPWEK_TYPE_12,"0,96",9,VARIANT_C1,"0,975",VERW-OPWEK_TYPE_H
"Henegouwenstraat 86, 1066 DH Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Henegouwenstraat 86, 1066 DH Amsterdam_2025-09-12.uniec3",,A,"77,01","148,07","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Henegouwenstraat 86, 1066 DH Amsterdam, Nederland/Opname/Van adviseur/Henegouwenstraat 86, 1066 DH Amsterdam_2025-09-12.uniec3",HR(-107) ketel met Gaskeur,TAPW-OPWEK_TYPE_12,"1,54",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Kastanjelaan 2a, 1431 JC Aalsmeer",VERW-AFG_TYPE_AFG_RAD,"Kastanjelaan 2a, 1431 JC Aalsmeer_2025-05-30.uniec3",,C,"171,45","199,93","11,7",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Kastanjelaan 2a, 1431 JC Aalsmeer/Opname/Van adviseur/Kastanjelaan 2a, 1431 JC Aalsmeer_2025-05-30.uniec3",Atag i36C,TAPW-OPWEK_TYPE_12,"2,20",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Biesbosch 179, 1181 JC Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Biesbosch 179, 1181 JC Amstelveen_2025-05-28.uniec3",,C,"112,97","216,52","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Biesbosch 179, 1181 JC Amstelveen/Opname/Van adviseur/Biesbosch 179, 1181 JC Amstelveen_2025-05-28.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,80",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Straat van Gibraltar 75, 1183 GV Amstelveen_",VERW-AFG_TYPE_AFG_RAD,"Straat van Gibraltar 75, 1183 GV Amstelveen__2025-07-16 (1).uniec3",,B,"126,69","169,10","10,4",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Straat van Gibraltar 75, 1183 GV Amstelveen/Opname/Van adviseur/Straat van Gibraltar 75, 1183 GV Amstelveen__2025-07-16 (1).uniec3",Intergas Kombi Kompakt HR 22,TAPW-OPWEK_TYPE_12,"1,99",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Hammarskjöldstraat 97, 2131 VC Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Hammarskj_ldstraat 97, 2131 VC Hoofddorp_2025-09-29.uniec3",,B,"104,94","175,41","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Hammarskjöldstraat 97, 2131 VC Hoofddorp, Nederland/Opname/Van adviseur/Hammarskj_ldstraat 97, 2131 VC Hoofddorp_2025-09-29.uniec3",Vaillant VHR NL 23-28/5-3 (EXP),TAPW-OPWEK_TYPE_12,"0,81",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
